id,name,type_1,type_2,ability_1,ability_2,hidden_ability,hp,attack,defense,sp_atk,sp_def,speed,weight_kg,height_m,bst,physical_bulk,special_bulk,atk_spatk_ratio,offensive_stat_sum,defensive_stat_sum,effective_bst,bst_efficiency,speed_tier,cluster_id,assigned_role
34,nidoking,ground,poison,poison-point,rivalry,sheer-force,81,102,77,85,75,85,62.0,1.4,505,6237,6075,1.199999858823546,272,233,420,0.8316831683168316,2,1,Physical Sweeper
35,clefairy,fairy,,cute-charm,magic-guard,friend-guard,70,45,48,60,65,35,7.5,0.6,323,3360,4550,0.7499998750000207,140,183,278,0.8606811145510835,0,4,Support
36,clefable,fairy,,cute-charm,magic-guard,unaware,95,70,73,95,90,60,40.0,1.3,483,6935,8550,0.7368420277008392,225,258,413,0.855072463768116,1,7,Bulky Offense
37,vulpix,fire,,flash-fire,drought,,38,41,40,50,65,65,9.9,0.6,299,1520,2470,0.8199998360000328,156,143,258,0.862876254180602,1,4,Support
38,ninetales,fire,,flash-fire,drought,,73,76,75,81,100,100,19.9,1.1,505,5475,7300,0.9382714891022852,257,248,429,0.8495049504950495,3,0,Hybrid Offense
39,jigglypuff,fairy,normal,cute-charm,competitive,friend-guard,115,45,20,45,25,20,5.5,0.5,270,2300,2875,0.9999997777778272,110,160,225,0.8333333333333334,0,4,Support
40,wigglytuff,fairy,normal,cute-charm,competitive,frisk,140,70,45,85,50,45,12.0,1.0,435,6300,7000,0.8235293148789041,200,235,365,0.8390804597701149,0,7,Tank/Wall
41,zubat,flying,poison,inner-focus,infiltrator,,40,45,35,30,40,55,7.5,0.8,245,1400,1600,1.499999500000167,130,115,215,0.8775510204081632,1,4,Support
42,golbat,flying,poison,inner-focus,infiltrator,,75,80,70,65,75,90,55.0,1.6,455,5250,5625,1.230769041420147,235,220,390,0.8571428571428571,2,1,Physical Sweeper
43,oddish,grass,poison,chlorophyll,run-away,,45,50,55,75,65,30,5.4,0.5,320,2475,2925,0.6666665777777896,155,165,270,0.84375,0,4,Support
44,gloom,grass,poison,chlorophyll,stench,,60,65,70,85,75,40,8.6,0.8,395,4200,4500,0.7647057923875538,190,205,330,0.8354430379746836,0,4,Support
45,vileplume,grass,poison,chlorophyll,effect-spore,,75,80,85,110,90,50,18.6,1.2,490,6375,6750,0.7272726611570308,240,250,410,0.8367346938775511,1,7,Bulky Offense
46,paras,bug,grass,effect-spore,dry-skin,damp,35,70,55,45,55,25,5.4,0.3,285,1925,1925,1.55555520987662,140,145,240,0.8421052631578947,0,4,Support
47,parasect,bug,grass,effect-spore,dry-skin,damp,60,95,80,60,80,30,29.5,1.0,405,4800,4800,1.5833330694444885,185,220,345,0.8518518518518519,0,4,Support
48,venonat,bug,poison,compound-eyes,tinted-lens,run-away,60,55,50,40,55,45,30.0,1.0,305,3000,3300,1.374999656250086,140,165,265,0.8688524590163934,0,4,Support
49,venomoth,bug,poison,shield-dust,tinted-lens,wonder-skin,70,65,60,90,75,90,12.5,1.5,450,4200,5250,0.7222221419753175,245,205,385,0.8555555555555555,2,1,Special Sweeper
50,diglett,ground,,sand-veil,arena-trap,sand-force,10,55,25,35,45,95,0.8,0.2,265,250,450,1.5714281224491078,185,80,230,0.8679245283018868,2,4,Physical Sweeper
51,dugtrio,ground,,sand-veil,arena-trap,sand-force,35,100,50,50,70,120,33.3,0.7,425,1750,2450,1.99999960000008,270,155,375,0.8823529411764706,4,0,Physical Sweeper
52,meowth,normal,,pickup,technician,unnerve,40,45,35,40,40,90,4.2,0.4,290,1400,1600,1.1249997187500702,175,115,250,0.8620689655172413,2,4,Hybrid Offense
53,persian,normal,,limber,technician,unnerve,65,70,60,65,65,115,32.0,1.0,440,3900,4225,1.076922911242629,250,190,375,0.8522727272727273,3,1,Hybrid Offense
54,psyduck,water,,damp,cloud-nine,swift-swim,50,52,48,65,50,55,19.6,0.8,320,2400,2500,0.7999998769230958,172,148,268,0.8375,1,4,Support
55,golduck,water,,damp,cloud-nine,swift-swim,80,82,78,95,80,85,76.6,1.7,500,6240,6400,0.8631578038781259,262,238,418,0.836,2,1,Hybrid Offense
56,mankey,fighting,,vital-spirit,anger-point,defiant,40,80,35,35,45,70,28.0,0.5,305,1400,1800,2.2857136326532475,185,120,270,0.8852459016393442,1,4,Support
57,primeape,fighting,,vital-spirit,anger-point,defiant,65,105,60,60,70,95,32.0,1.0,455,3900,4550,1.7499997083333818,260,195,395,0.8681318681318682,2,1,Physical Sweeper
58,growlithe,fire,,intimidate,flash-fire,justified,55,70,45,70,50,60,19.0,0.7,350,2475,2750,0.9999998571428776,200,150,280,0.8,1,4,Support
59,arcanine,fire,,intimidate,flash-fire,justified,90,110,80,100,80,95,155.0,1.9,555,7200,7200,1.099999890000011,305,250,455,0.8198198198198198,2,0,Hybrid Offense
60,poliwag,water,,water-absorb,damp,swift-swim,40,50,40,40,40,90,12.4,0.6,300,1600,1600,1.249999687500078,180,120,260,0.8666666666666667,2,4,Physical Sweeper
61,poliwhirl,water,,water-absorb,damp,swift-swim,65,65,65,50,50,90,20.0,1.0,385,4225,3250,1.2999997400000518,205,180,335,0.8701298701298701,2,1,Physical Sweeper
62,poliwrath,fighting,water,water-absorb,damp,swift-swim,90,95,95,70,90,70,54.0,1.3,510,8550,8100,1.3571426632653338,235,275,440,0.8627450980392157,1,7,Tank/Wall
63,abra,psychic,,synchronize,inner-focus,magic-guard,25,20,15,105,55,90,19.5,0.9,310,375,1375,0.1904761723356026,215,95,290,0.935483870967742,2,4,Special Sweeper
64,kadabra,psychic,,synchronize,inner-focus,magic-guard,40,35,30,120,70,105,56.5,1.3,400,1200,2800,0.2916666423611131,260,140,365,0.9125,3,1,Special Sweeper
65,alakazam,psychic,,synchronize,inner-focus,magic-guard,55,50,45,135,95,120,48.0,1.5,500,2475,5225,0.3703703429355301,305,195,450,0.9,4,0,Special Sweeper
66,machop,fighting,,guts,no-guard,steadfast,70,80,50,35,35,35,19.5,0.8,305,3500,2450,2.2857136326532475,150,155,270,0.8852459016393442,0,4,Support
67,machoke,fighting,,guts,no-guard,steadfast,80,100,70,50,60,45,70.5,1.5,405,5600,4800,1.99999960000008,195,210,355,0.8765432098765432,0,3,Support
68,machamp,fighting,,guts,no-guard,steadfast,90,130,80,65,85,55,130.0,1.6,505,7200,7650,1.9999996923077392,250,255,440,0.8712871287128713,1,3,Bulky Offense
69,bellsprout,grass,poison,chlorophyll,gluttony,,50,75,35,70,30,40,4.0,0.7,300,1750,1500,1.0714284183673688,185,115,230,0.7666666666666667,0,4,Support
70,weepinbell,grass,poison,chlorophyll,gluttony,,65,90,50,85,45,55,6.4,1.0,390,3250,2925,1.0588234048443053,230,160,305,0.782051282051282,1,1,Support
71,victreebel,grass,poison,chlorophyll,gluttony,,80,105,65,100,70,70,15.5,1.7,490,5200,5600,1.0499998950000105,275,215,390,0.7959183673469388,1,1,Support
72,tentacool,poison,water,clear-body,liquid-ooze,rain-dish,40,40,35,50,100,70,45.5,0.9,335,1400,4000,0.799999840000032,160,175,295,0.8805970149253731,1,4,Support
73,tentacruel,poison,water,clear-body,liquid-ooze,rain-dish,80,70,65,80,120,100,55.0,1.6,515,5200,9600,0.8749998906250136,250,265,445,0.8640776699029126,3,0,Hybrid Offense
74,geodude,ground,rock,rock-head,sturdy,sand-veil,40,80,100,30,30,20,20.0,0.4,300,4000,1200,2.666665777778074,130,170,270,0.9,0,4,Support
75,graveler,ground,rock,rock-head,sturdy,sand-veil,55,95,115,45,45,35,105.0,1.0,390,6325,2475,2.111110641975413,175,215,345,0.8846153846153846,0,4,Support
76,golem,ground,rock,rock-head,sturdy,sand-veil,80,120,130,55,65,45,300.0,1.4,495,10400,5200,2.181817785124039,220,275,440,0.8888888888888888,0,3,Tank/Wall
77,ponyta,fire,,run-away,flash-fire,flame-body,50,85,55,65,65,90,30.0,1.0,410,2750,3250,1.3076921065089069,240,170,345,0.8414634146341463,2,1,Physical Sweeper
78,rapidash,fire,,run-away,flash-fire,flame-body,65,100,70,80,80,105,95.0,1.7,500,4550,5200,1.2499998437500195,285,215,420,0.84,3,0,Physical Sweeper
79,slowpoke,psychic,water,oblivious,own-tempo,regenerator,90,65,65,40,40,15,36.0,1.2,315,5850,3600,1.6249995937501014,120,195,275,0.873015873015873,0,4,Support
80,slowbro,psychic,water,oblivious,own-tempo,regenerator,95,75,110,100,80,30,78.5,1.6,490,10450,7600,0.7499999250000075,205,285,415,0.8469387755102041,0,7,Tank/Wall
81,magnemite,electric,steel,magnet-pull,sturdy,analytic,25,35,70,95,55,45,6.0,0.3,325,1750,1375,0.3684210138504196,175,150,290,0.8923076923076924,0,4,Support
82,magneton,electric,steel,magnet-pull,sturdy,analytic,50,60,95,120,70,70,60.0,1.0,465,4750,3500,0.4999999583333367,250,215,405,0.8709677419354839,1,1,Support
83,farfetchd,flying,normal,keen-eye,inner-focus,defiant,52,90,55,58,62,60,15.0,0.8,377,2860,3224,1.551723870392436,208,169,319,0.8461538461538461,1,4,Support
84,doduo,flying,normal,run-away,early-bird,tangled-feet,35,85,45,35,35,75,39.2,1.4,310,1575,1225,2.4285707346940755,195,115,275,0.8870967741935484,1,4,Support
85,dodrio,flying,normal,run-away,early-bird,tangled-feet,60,110,70,60,60,110,85.2,1.8,470,4200,3600,1.8333330277778288,280,190,410,0.8723404255319149,3,0,Physical Sweeper
86,seel,water,,thick-fat,hydration,ice-body,65,45,55,45,70,45,90.0,1.1,325,3575,4550,0.9999997777778272,135,190,280,0.8615384615384616,0,4,Support
87,dewgong,ice,water,thick-fat,hydration,ice-body,90,70,80,70,95,70,120.0,1.7,475,7200,8550,0.9999998571428776,210,265,405,0.8526315789473684,1,7,Tank/Wall
88,grimer,poison,,stench,sticky-hold,poison-touch,80,80,50,40,50,25,30.0,0.9,325,4000,4000,1.999999500000125,145,180,285,0.8769230769230769,0,4,Support
89,muk,poison,,stench,sticky-hold,poison-touch,105,105,75,65,100,50,30.0,1.2,500,7875,10500,1.6153843668639434,220,280,435,0.87,1,7,Tank/Wall
90,shellder,water,,shell-armor,skill-link,overcoat,30,65,100,45,25,40,4.0,0.3,305,3000,750,1.4444441234568617,150,155,260,0.8524590163934426,0,4,Support
91,cloyster,ice,water,shell-armor,skill-link,overcoat,50,95,180,85,45,70,132.5,1.5,525,9000,2250,1.1176469273356555,250,275,440,0.8380952380952381,1,7,Bulky Offense
92,gastly,ghost,poison,levitate,,,30,35,30,100,35,80,0.1,1.3,310,900,1050,0.3499999650000034,215,95,275,0.8870967741935484,2,4,Special Sweeper
93,haunter,ghost,poison,levitate,,,45,50,45,115,55,95,0.1,1.6,405,2025,2475,0.4347825708884721,260,145,355,0.8765432098765432,2,1,Special Sweeper
94,gengar,ghost,poison,cursed-body,,,60,65,60,130,75,110,40.5,1.5,500,3600,4500,0.4999999615384645,305,195,435,0.87,3,0,Special Sweeper
95,onix,ground,rock,rock-head,sturdy,weak-armor,35,45,160,30,45,70,210.0,8.8,385,5600,1575,1.499999500000167,145,240,355,0.922077922077922,1,4,Tank/Wall
96,drowzee,psychic,,insomnia,forewarn,inner-focus,60,48,45,43,90,42,32.4,1.0,328,2700,5400,1.1162788101677186,133,195,285,0.8689024390243902,0,4,Support
97,hypno,psychic,,insomnia,forewarn,inner-focus,85,73,70,73,115,67,75.6,1.6,483,5950,9775,0.9999998630137172,213,270,410,0.8488612836438924,1,7,Tank/Wall
98,krabby,water,,hyper-cutter,shell-armor,sheer-force,30,105,90,25,25,50,6.5,0.4,325,2700,750,4.199998320000672,180,145,300,0.9230769230769232,1,6,Support
99,kingler,water,,hyper-cutter,shell-armor,sheer-force,55,130,115,50,50,75,60.0,1.3,475,6325,2750,2.5999994800001036,255,220,425,0.8947368421052632,1,3,Support
100,voltorb,electric,,soundproof,static,aftermath,40,30,50,55,55,100,10.4,0.5,330,2000,2200,0.5454544462810097,185,145,300,0.9090909090909092,3,1,Special Sweeper
101,electrode,electric,,soundproof,static,aftermath,60,50,70,80,80,150,66.6,1.2,490,4200,4800,0.6249999218750097,280,210,440,0.8979591836734694,4,0,Special Sweeper
102,exeggcute,grass,psychic,chlorophyll,harvest,,60,40,80,60,45,40,2.5,0.4,325,4800,2700,0.6666665555555741,140,185,285,0.8769230769230769,0,4,Support
103,exeggutor,grass,psychic,chlorophyll,harvest,,95,95,85,125,75,55,120.0,2.0,530,8075,7125,0.7599999392000049,275,255,435,0.8207547169811321,1,7,Bulky Offense
104,cubone,ground,,rock-head,lightning-rod,battle-armor,50,50,95,40,50,35,6.5,0.4,320,4750,2500,1.249999687500078,125,195,280,0.875,0,4,Support
105,marowak,ground,,rock-head,lightning-rod,battle-armor,60,80,110,50,80,45,45.0,1.0,425,6600,4800,1.599999680000064,175,250,375,0.8823529411764706,0,3,Tank/Wall
106,hitmonlee,fighting,,limber,reckless,unburden,50,120,53,35,110,87,49.8,1.5,455,2650,5500,3.4285704489798716,242,213,420,0.9230769230769232,2,6,Physical Sweeper
107,hitmonchan,fighting,,keen-eye,iron-fist,inner-focus,50,105,79,35,110,76,50.2,1.4,455,3950,5500,2.9999991428573876,216,239,420,0.9230769230769232,1,3,Bulky Offense
108,lickitung,normal,,own-tempo,oblivious,cloud-nine,90,55,75,60,75,30,65.5,1.2,385,6750,6750,0.9166665138889144,145,240,330,0.8571428571428571,0,7,Tank/Wall
109,koffing,poison,,levitate,neutralizing-gas,stench,40,65,95,60,45,35,1.0,0.6,340,3800,1800,1.0833331527778078,160,180,280,0.8235294117647058,0,4,Support
110,weezing,poison,,levitate,neutralizing-gas,stench,65,90,120,85,70,60,9.5,1.2,490,7800,4550,1.0588234048443053,235,255,405,0.826530612244898,1,7,Bulky Offense
111,rhyhorn,ground,rock,lightning-rod,rock-head,reckless,80,85,95,30,30,25,115.0,1.0,345,7600,2400,2.833332388889204,140,205,315,0.9130434782608696,0,3,Support
112,rhydon,ground,rock,lightning-rod,rock-head,reckless,105,130,120,45,45,40,120.0,1.9,485,12600,4725,2.888888246913723,215,270,440,0.9072164948453608,0,3,Tank/Wall
113,chansey,normal,,natural-cure,serene-grace,healer,250,5,5,35,105,50,34.6,1.1,450,1250,26250,0.1428571020408279,90,360,445,0.9888888888888888,1,7,Tank/Wall
114,tangela,grass,,chlorophyll,leaf-guard,regenerator,65,55,115,100,40,60,35.0,1.0,435,7475,2600,0.5499999450000055,215,220,380,0.8735632183908046,1,1,Support
115,kangaskhan,normal,,early-bird,scrappy,inner-focus,105,95,80,40,80,90,80.0,2.2,490,8400,8400,2.374999406250148,225,265,450,0.9183673469387756,2,3,Physical Sweeper
116,horsea,water,,swift-swim,sniper,damp,30,40,70,70,25,60,8.0,0.4,295,2100,750,0.57142848979593,170,125,255,0.864406779661017,1,4,Support
117,seadra,water,,poison-point,sniper,damp,55,65,95,95,45,85,25.0,1.2,440,5225,2475,0.6842104542936364,245,195,375,0.8522727272727273,2,1,Special Sweeper
118,goldeen,water,,swift-swim,water-veil,lightning-rod,45,67,60,35,50,63,15.0,0.6,320,2700,2250,1.9142851673470949,165,155,285,0.890625,1,4,Support
119,seaking,water,,swift-swim,water-veil,lightning-rod,80,92,65,65,80,68,39.0,1.3,450,5200,6400,1.4153843976331697,225,225,385,0.8555555555555555,1,1,Bulky Offense
120,staryu,water,,illuminate,natural-cure,analytic,30,45,55,70,55,85,34.5,0.8,340,1650,1650,0.6428570510204212,200,140,295,0.8676470588235294,2,4,Special Sweeper
121,starmie,psychic,water,illuminate,natural-cure,analytic,60,75,85,100,85,115,80.0,1.1,520,5100,5100,0.7499999250000075,290,230,445,0.8557692307692307,3,0,Special Sweeper
122,mr-mime,fairy,psychic,soundproof,filter,technician,40,45,65,100,120,90,54.5,1.3,460,2600,4800,0.4499999550000045,235,225,415,0.9021739130434784,2,1,Special Sweeper
123,scyther,bug,flying,swarm,technician,steadfast,70,110,80,55,80,105,56.0,1.5,500,5600,5600,1.9999996363637025,270,230,445,0.89,3,0,Physical Sweeper
124,jynx,ice,psychic,oblivious,forewarn,dry-skin,65,50,35,115,95,95,40.6,1.4,455,2275,6175,0.4347825708884721,260,195,405,0.8901098901098901,2,1,Special Sweeper
125,electabuzz,electric,,static,vital-spirit,,65,83,57,95,85,105,30.0,1.1,490,3705,5525,0.8736841185595664,283,207,407,0.8306122448979592,3,0,Hybrid Offense
126,magmar,fire,,flame-body,vital-spirit,,65,95,57,100,85,93,44.5,1.3,495,3705,5525,0.9499999050000094,288,207,400,0.8080808080808081,2,1,Hybrid Offense
127,pinsir,bug,,hyper-cutter,mold-breaker,moxie,65,125,100,55,70,85,55.0,1.5,500,6500,4550,2.2727268595042074,265,235,445,0.89,2,3,Physical Sweeper
128,tauros,normal,,intimidate,anger-point,sheer-force,75,100,95,40,70,110,88.4,1.4,490,7125,5250,2.499999375000156,250,240,450,0.9183673469387756,3,3,Physical Sweeper
129,magikarp,water,,swift-swim,rattled,,20,10,55,15,20,80,10.0,0.9,200,1100,400,0.6666662222225186,105,95,190,0.95,2,4,Special Sweeper
130,gyarados,flying,water,intimidate,moxie,,95,125,79,60,100,81,235.0,6.5,540,7505,9500,2.0833329861111687,266,274,480,0.8888888888888888,2,3,Physical Sweeper
131,lapras,ice,water,water-absorb,shell-armor,hydration,130,85,80,85,95,60,220.0,2.5,535,10400,12350,0.999999882352955,230,305,450,0.8411214953271028,1,7,Tank/Wall
132,ditto,normal,,limber,imposter,,48,48,48,48,48,48,4.0,0.3,288,2304,2304,0.99999979166671,144,144,240,0.8333333333333334,0,4,Support
133,eevee,normal,,run-away,adaptability,anticipation,55,55,50,45,65,55,6.5,0.3,325,2750,3575,1.2222219506173442,155,170,280,0.8615384615384616,1,4,Support
134,vaporeon,water,,water-absorb,hydration,,130,65,60,110,95,65,29.0,1.0,525,7800,12350,0.5909090371900875,240,285,460,0.8761904761904762,1,7,Tank/Wall
135,jolteon,electric,,volt-absorb,quick-feet,,65,65,60,110,95,130,24.5,0.8,525,3900,6175,0.5909090371900875,305,220,460,0.8761904761904762,4,0,Special Sweeper
136,flareon,fire,,flash-fire,guts,,65,130,60,95,110,65,25.0,0.9,525,3900,7150,1.3684209085872727,290,235,430,0.819047619047619,1,1,Bulky Offense
137,porygon,normal,,trace,download,analytic,65,60,70,85,75,40,36.5,0.8,395,4550,4875,0.7058822698962035,185,210,335,0.8481012658227848,0,4,Support
138,omanyte,rock,water,swift-swim,shell-armor,weak-armor,35,40,100,90,55,35,7.5,0.4,355,3500,1925,0.4444443950617339,165,190,315,0.8873239436619719,0,4,Support
139,omastar,rock,water,swift-swim,shell-armor,weak-armor,70,60,125,115,70,55,35.0,1.0,495,8750,4900,0.5217390850661665,230,265,435,0.8787878787878788,1,7,Bulky Offense
140,kabuto,rock,water,swift-swim,battle-armor,weak-armor,30,80,90,55,45,55,11.5,0.5,355,2700,1350,1.454545190082693,190,165,300,0.8450704225352113,1,4,Support
141,kabutops,rock,water,swift-swim,battle-armor,weak-armor,60,115,105,65,70,80,40.5,1.3,495,6300,4200,1.7692304970414618,260,235,430,0.8686868686868687,2,1,Physical Sweeper
142,aerodactyl,flying,rock,rock-head,pressure,unnerve,80,105,65,60,75,130,59.0,1.8,515,5200,6000,1.7499997083333818,295,220,455,0.883495145631068,4,0,Physical Sweeper
143,snorlax,normal,,immunity,thick-fat,gluttony,160,110,65,65,110,30,460.0,2.1,540,10400,17600,1.6923074319527027,205,335,475,0.8796296296296297,0,7,Tank/Wall
144,articuno,flying,ice,pressure,snow-cloak,,90,85,100,95,125,85,55.4,1.7,580,9000,11250,0.8947367479224475,265,315,495,0.853448275862069,2,2,Hybrid Offense
145,zapdos,electric,flying,pressure,static,,90,90,85,125,90,100,52.6,1.6,580,7650,8100,0.7199999424000046,315,265,490,0.8448275862068966,3,0,Special Sweeper
146,moltres,fire,flying,pressure,flame-body,,90,100,90,125,85,90,60.0,2.0,580,8100,7650,0.7999999360000051,315,265,480,0.8275862068965517,2,2,Special Sweeper
147,dratini,dragon,,shed-skin,marvel-scale,,41,64,45,50,50,50,3.3,1.8,300,1845,2050,1.279999744000051,164,136,250,0.8333333333333334,1,4,Support
148,dragonair,dragon,,shed-skin,marvel-scale,,61,84,65,70,70,70,16.5,4.0,420,3965,4270,1.199999828571453,224,196,350,0.8333333333333334,1,1,Support
149,dragonite,dragon,flying,inner-focus,multiscale,,91,134,95,100,100,80,210.0,2.2,600,8645,9100,1.3399998660000134,314,286,500,0.8333333333333334,2,2,Physical Sweeper
150,mewtwo,psychic,,pressure,unnerve,,106,110,90,154,90,130,122.0,2.0,680,9540,9540,0.7142856679035281,394,286,570,0.8382352941176471,4,2,Special Sweeper
151,mew,psychic,,synchronize,,,100,100,100,100,100,100,4.0,0.4,600,10000,10000,0.99999990000001,300,300,500,0.8333333333333334,3,2,Hybrid Offense
152,chikorita,grass,,overgrow,leaf-guard,,45,49,65,49,65,45,6.4,0.9,318,2925,2925,0.9999997959184088,143,175,269,0.8459119496855346,0,4,Support
153,bayleef,grass,,overgrow,leaf-guard,,60,62,80,63,80,60,15.8,1.2,405,4800,4800,0.9841268279163764,185,220,343,0.8469135802469135,1,1,Support
154,meganium,grass,,overgrow,leaf-guard,,80,82,100,83,100,80,100.5,1.8,525,8000,8000,0.9879516881985916,245,280,443,0.8438095238095238,2,7,Hybrid Offense
155,cyndaquil,fire,,blaze,flash-fire,,39,52,43,60,50,65,7.9,0.5,309,1677,1950,0.8666665222222463,177,132,257,0.8317152103559871,1,4,Support
156,quilava,fire,,blaze,flash-fire,,58,64,58,80,65,80,19.0,0.9,405,3364,3770,0.7999999000000124,224,181,341,0.8419753086419753,2,1,Special Sweeper
157,typhlosion,fire,,blaze,flash-fire,,78,84,78,109,85,100,79.5,1.7,534,6084,6630,0.7706421311337495,293,241,450,0.8426966292134831,3,0,Special Sweeper
158,totodile,water,,torrent,sheer-force,,50,65,64,44,48,43,9.5,0.6,314,3200,2400,1.4772723915290018,152,162,270,0.8598726114649682,0,4,Support
