id,name,type_1,type_2,ability_1,ability_2,hidden_ability,hp,attack,defense,sp_atk,sp_def,speed,weight_kg,height_m,bst,physical_bulk,special_bulk,atk_spatk_ratio,offensive_stat_sum,defensive_stat_sum,bst_efficiency,speed_tier
53,persian,normal,,limber,technician,unnerve,65,70,60,65,65,115,32.0,1.0,440,3900,4225,1.076922911242629,250,190,1.0,3
54,psyduck,water,,damp,cloud-nine,swift-swim,50,52,48,65,50,55,19.6,0.8,320,2400,2500,0.7999998769230958,172,148,1.0,1
55,golduck,water,,damp,cloud-nine,swift-swim,80,82,78,95,80,85,76.6,1.7,500,6240,6400,0.8631578038781259,262,238,1.0,2
56,mankey,fighting,,vital-spirit,anger-point,defiant,40,80,35,35,45,70,28.0,0.5,305,1400,1800,2.2857136326532475,185,120,1.0,1
57,primeape,fighting,,vital-spirit,anger-point,defiant,65,105,60,60,70,95,32.0,1.0,455,3900,4550,1.7499997083333818,260,195,1.0,2
58,growlithe,fire,,intimidate,flash-fire,justified,55,70,45,70,50,60,19.0,0.7,350,2475,2750,0.9999998571428775,200,150,1.0,1
59,arcanine,fire,,intimidate,flash-fire,justified,90,110,80,100,80,95,155.0,1.9,555,7200,7200,1.099999890000011,305,250,1.0,2
60,poliwag,water,,water-absorb,damp,swift-swim,40,50,40,40,40,90,12.4,0.6,300,1600,1600,1.249999687500078,180,120,1.0,2
61,poliwhirl,water,,water-absorb,damp,swift-swim,65,65,65,50,50,90,20.0,1.0,385,4225,3250,1.2999997400000518,205,180,1.0,2
62,poliwrath,water,fighting,water-absorb,damp,swift-swim,90,95,95,70,90,70,54.0,1.3,510,8550,8100,1.3571426632653338,235,275,1.0,1
63,abra,psychic,,synchronize,inner-focus,magic-guard,25,20,15,105,55,90,19.5,0.9,310,375,1375,0.19047617233560263,215,95,1.0,2
64,kadabra,psychic,,synchronize,inner-focus,magic-guard,40,35,30,120,70,105,56.5,1.3,400,1200,2800,0.2916666423611131,260,140,1.0,3
65,alakazam,psychic,,synchronize,inner-focus,magic-guard,55,50,45,135,95,120,48.0,1.5,500,2475,5225,0.3703703429355301,305,195,1.0,4
66,machop,fighting,,guts,no-guard,steadfast,70,80,50,35,35,35,19.5,0.8,305,3500,2450,2.2857136326532475,150,155,1.0,0
67,machoke,fighting,,guts,no-guard,steadfast,80,100,70,50,60,45,70.5,1.5,405,5600,4800,1.99999960000008,195,210,1.0,0
68,machamp,fighting,,guts,no-guard,steadfast,90,130,80,65,85,55,130.0,1.6,505,7200,7650,1.9999996923077394,250,255,1.0,1
69,bellsprout,grass,poison,chlorophyll,gluttony,,50,75,35,70,30,40,4.0,0.7,300,1750,1500,1.0714284183673688,185,115,1.0,0
70,weepinbell,grass,poison,chlorophyll,gluttony,,65,90,50,85,45,55,6.4,1.0,390,3250,2925,1.0588234048443053,230,160,1.0,1
71,victreebel,grass,poison,chlorophyll,gluttony,,80,105,65,100,70,70,15.5,1.7,490,5200,5600,1.0499998950000105,275,215,1.0,1
72,tentacool,water,poison,clear-body,liquid-ooze,rain-dish,40,40,35,50,100,70,45.5,0.9,335,1400,4000,0.799999840000032,160,175,1.0,1
73,tentacruel,water,poison,clear-body,liquid-ooze,rain-dish,80,70,65,80,120,100,55.0,1.6,515,5200,9600,0.8749998906250136,250,265,1.0,3
74,geodude,rock,ground,rock-head,sturdy,sand-veil,40,80,100,30,30,20,20.0,0.4,300,4000,1200,2.666665777778074,130,170,1.0,0
75,graveler,rock,ground,rock-head,sturdy,sand-veil,55,95,115,45,45,35,105.0,1.0,390,6325,2475,2.111110641975413,175,215,1.0,0
76,golem,rock,ground,rock-head,sturdy,sand-veil,80,120,130,55,65,45,300.0,1.4,495,10400,5200,2.181817785124039,220,275,1.0,0
77,ponyta,fire,,run-away,flash-fire,flame-body,50,85,55,65,65,90,30.0,1.0,410,2750,3250,1.3076921065089067,240,170,1.0,2
78,rapidash,fire,,run-away,flash-fire,flame-body,65,100,70,80,80,105,95.0,1.7,500,4550,5200,1.2499998437500195,285,215,1.0,3
79,slowpoke,water,psychic,oblivious,own-tempo,regenerator,90,65,65,40,40,15,36.0,1.2,315,5850,3600,1.6249995937501014,120,195,1.0,0
80,slowbro,water,psychic,oblivious,own-tempo,regenerator,95,75,110,100,80,30,78.5,1.6,490,10450,7600,0.7499999250000075,205,285,1.0,0
81,magnemite,electric,steel,magnet-pull,sturdy,analytic,25,35,70,95,55,45,6.0,0.3,325,1750,1375,0.3684210138504196,175,150,1.0,0
82,magneton,electric,steel,magnet-pull,sturdy,analytic,50,60,95,120,70,70,60.0,1.0,465,4750,3500,0.49999995833333677,250,215,1.0,1
83,farfetchd,normal,flying,keen-eye,inner-focus,defiant,52,90,55,58,62,60,15.0,0.8,377,2860,3224,1.551723870392436,208,169,1.0,1
84,doduo,normal,flying,run-away,early-bird,tangled-feet,35,85,45,35,35,75,39.2,1.4,310,1575,1225,2.4285707346940755,195,115,1.0,1
85,dodrio,normal,flying,run-away,early-bird,tangled-feet,60,110,70,60,60,110,85.2,1.8,470,4200,3600,1.8333330277778286,280,190,1.0,3
86,seel,water,,thick-fat,hydration,ice-body,65,45,55,45,70,45,90.0,1.1,325,3575,4550,0.9999997777778271,135,190,1.0,0
87,dewgong,water,ice,thick-fat,hydration,ice-body,90,70,80,70,95,70,120.0,1.7,475,7200,8550,0.9999998571428775,210,265,1.0,1
88,grimer,poison,,stench,sticky-hold,poison-touch,80,80,50,40,50,25,30.0,0.9,325,4000,4000,1.999999500000125,145,180,1.0,0
89,muk,poison,,stench,sticky-hold,poison-touch,105,105,75,65,100,50,30.0,1.2,500,7875,10500,1.6153843668639434,220,280,1.0,1
90,shellder,water,,shell-armor,skill-link,overcoat,30,65,100,45,25,40,4.0,0.3,305,3000,750,1.4444441234568615,150,155,1.0,0
91,cloyster,water,ice,shell-armor,skill-link,overcoat,50,95,180,85,45,70,132.5,1.5,525,9000,2250,1.1176469273356555,250,275,1.0,1
92,gastly,ghost,poison,levitate,,,30,35,30,100,35,80,0.1,1.3,310,900,1050,0.34999996500000347,215,95,1.0,2
93,haunter,ghost,poison,levitate,,,45,50,45,115,55,95,0.1,1.6,405,2025,2475,0.4347825708884721,260,145,1.0,2
94,gengar,ghost,poison,cursed-body,,,60,65,60,130,75,110,40.5,1.5,500,3600,4500,0.4999999615384645,305,195,1.0,3
95,onix,rock,ground,rock-head,sturdy,weak-armor,35,45,160,30,45,70,210.0,8.8,385,5600,1575,1.4999995000001667,145,240,1.0,1
96,drowzee,psychic,,insomnia,forewarn,inner-focus,60,48,45,43,90,42,32.4,1.0,328,2700,5400,1.1162788101677186,133,195,1.0,0
97,hypno,psychic,,insomnia,forewarn,inner-focus,85,73,70,73,115,67,75.6,1.6,483,5950,9775,0.9999998630137173,213,270,1.0,1
98,krabby,water,,hyper-cutter,shell-armor,sheer-force,30,105,90,25,25,50,6.5,0.4,325,2700,750,4.199998320000672,180,145,1.0,1
99,kingler,water,,hyper-cutter,shell-armor,sheer-force,55,130,115,50,50,75,60.0,1.3,475,6325,2750,2.5999994800001036,255,220,1.0,1
100,voltorb,electric,,soundproof,static,aftermath,40,30,50,55,55,100,10.4,0.5,330,2000,2200,0.5454544462810097,185,145,1.0,3
101,electrode,electric,,soundproof,static,aftermath,60,50,70,80,80,150,66.6,1.2,490,4200,4800,0.6249999218750097,280,210,1.0,4
102,exeggcute,grass,psychic,chlorophyll,harvest,,60,40,80,60,45,40,2.5,0.4,325,4800,2700,0.6666665555555741,140,185,1.0,0
103,exeggutor,grass,psychic,chlorophyll,harvest,,95,95,85,125,75,55,120.0,2.0,530,8075,7125,0.7599999392000049,275,255,1.0,1
104,cubone,ground,,rock-head,lightning-rod,battle-armor,50,50,95,40,50,35,6.5,0.4,320,4750,2500,1.249999687500078,125,195,1.0,0
105,marowak,ground,,rock-head,lightning-rod,battle-armor,60,80,110,50,80,45,45.0,1.0,425,6600,4800,1.599999680000064,175,250,1.0,0
106,hitmonlee,fighting,,limber,reckless,unburden,50,120,53,35,110,87,49.8,1.5,455,2650,5500,3.4285704489798716,242,213,1.0,2
107,hitmonchan,fighting,,keen-eye,iron-fist,inner-focus,50,105,79,35,110,76,50.2,1.4,455,3950,5500,2.9999991428573876,216,239,1.0,1
108,lickitung,normal,,own-tempo,oblivious,cloud-nine,90,55,75,60,75,30,65.5,1.2,385,6750,6750,0.9166665138889143,145,240,1.0,0
109,koffing,poison,,levitate,neutralizing-gas,stench,40,65,95,60,45,35,1.0,0.6,340,3800,1800,1.0833331527778078,160,180,1.0,0
110,weezing,poison,,levitate,neutralizing-gas,stench,65,90,120,85,70,60,9.5,1.2,490,7800,4550,1.0588234048443053,235,255,1.0,1
111,rhyhorn,ground,rock,lightning-rod,rock-head,reckless,80,85,95,30,30,25,115.0,1.0,345,7600,2400,2.833332388889204,140,205,1.0,0
112,rhydon,ground,rock,lightning-rod,rock-head,reckless,105,130,120,45,45,40,120.0,1.9,485,12600,4725,2.888888246913723,215,270,1.0,0
113,chansey,normal,,natural-cure,serene-grace,healer,250,5,5,35,105,50,34.6,1.1,450,1250,26250,0.14285710204082797,90,360,1.0,1
114,tangela,grass,,chlorophyll,leaf-guard,regenerator,65,55,115,100,40,60,35.0,1.0,435,7475,2600,0.5499999450000055,215,220,1.0,1
115,kangaskhan,normal,,early-bird,scrappy,inner-focus,105,95,80,40,80,90,80.0,2.2,490,8400,8400,2.374999406250148,225,265,1.0,2
116,horsea,water,,swift-swim,sniper,damp,30,40,70,70,25,60,8.0,0.4,295,2100,750,0.57142848979593,170,125,1.0,1
117,seadra,water,,poison-point,sniper,damp,55,65,95,95,45,85,25.0,1.2,440,5225,2475,0.6842104542936364,245,195,1.0,2
118,goldeen,water,,swift-swim,water-veil,lightning-rod,45,67,60,35,50,63,15.0,0.6,320,2700,2250,1.9142851673470949,165,155,1.0,1
119,seaking,water,,swift-swim,water-veil,lightning-rod,80,92,65,65,80,68,39.0,1.3,450,5200,6400,1.4153843976331695,225,225,1.0,1
120,staryu,water,,illuminate,natural-cure,analytic,30,45,55,70,55,85,34.5,0.8,340,1650,1650,0.6428570510204212,200,140,1.0,2
121,starmie,water,psychic,illuminate,natural-cure,analytic,60,75,85,100,85,115,80.0,1.1,520,5100,5100,0.7499999250000075,290,230,1.0,3
122,mr-mime,psychic,fairy,soundproof,filter,technician,40,45,65,100,120,90,54.5,1.3,460,2600,4800,0.4499999550000045,235,225,1.0,2
123,scyther,bug,flying,swarm,technician,steadfast,70,110,80,55,80,105,56.0,1.5,500,5600,5600,1.9999996363637023,270,230,1.0,3
124,jynx,ice,psychic,oblivious,forewarn,dry-skin,65,50,35,115,95,95,40.6,1.4,455,2275,6175,0.4347825708884721,260,195,1.0,2
125,electabuzz,electric,,static,vital-spirit,,65,83,57,95,85,105,30.0,1.1,490,3705,5525,0.8736841185595664,283,207,1.0,3
126,magmar,fire,,flame-body,vital-spirit,,65,95,57,100,85,93,44.5,1.3,495,3705,5525,0.9499999050000094,288,207,1.0,2
127,pinsir,bug,,hyper-cutter,mold-breaker,moxie,65,125,100,55,70,85,55.0,1.5,500,6500,4550,2.2727268595042074,265,235,1.0,2
128,tauros,normal,,intimidate,anger-point,sheer-force,75,100,95,40,70,110,88.4,1.4,490,7125,5250,2.499999375000156,250,240,1.0,3
129,magikarp,water,,swift-swim,rattled,,20,10,55,15,20,80,10.0,0.9,200,1100,400,0.6666662222225186,105,95,1.0,2
130,gyarados,water,flying,intimidate,moxie,,95,125,79,60,100,81,235.0,6.5,540,7505,9500,2.0833329861111687,266,274,1.0,2
131,lapras,water,ice,water-absorb,shell-armor,hydration,130,85,80,85,95,60,220.0,2.5,535,10400,12350,0.999999882352955,230,305,1.0,1
132,ditto,normal,,limber,imposter,,48,48,48,48,48,48,4.0,0.3,288,2304,2304,0.99999979166671,144,144,1.0,0
133,eevee,normal,,run-away,adaptability,anticipation,55,55,50,45,65,55,6.5,0.3,325,2750,3575,1.2222219506173442,155,170,1.0,1
134,vaporeon,water,,water-absorb,hydration,,130,65,60,110,95,65,29.0,1.0,525,7800,12350,0.5909090371900875,240,285,1.0,1
135,jolteon,electric,,volt-absorb,quick-feet,,65,65,60,110,95,130,24.5,0.8,525,3900,6175,0.5909090371900875,305,220,1.0,4
136,flareon,fire,,flash-fire,guts,,65,130,60,95,110,65,25.0,0.9,525,3900,7150,1.3684209085872727,290,235,1.0,1
137,porygon,normal,,trace,download,analytic,65,60,70,85,75,40,36.5,0.8,395,4550,4875,0.7058822698962035,185,210,1.0,0
138,omanyte,rock,water,swift-swim,shell-armor,weak-armor,35,40,100,90,55,35,7.5,0.4,355,3500,1925,0.4444443950617339,165,190,1.0,0
139,omastar,rock,water,swift-swim,shell-armor,weak-armor,70,60,125,115,70,55,35.0,1.0,495,8750,4900,0.5217390850661665,230,265,1.0,1
140,kabuto,rock,water,swift-swim,battle-armor,weak-armor,30,80,90,55,45,55,11.5,0.5,355,2700,1350,1.4545451900826927,190,165,1.0,1
141,kabutops,rock,water,swift-swim,battle-armor,weak-armor,60,115,105,65,70,80,40.5,1.3,495,6300,4200,1.7692304970414618,260,235,1.0,2
142,aerodactyl,rock,flying,rock-head,pressure,unnerve,80,105,65,60,75,130,59.0,1.8,515,5200,6000,1.7499997083333818,295,220,1.0,4
143,snorlax,normal,,immunity,thick-fat,gluttony,160,110,65,65,110,30,460.0,2.1,540,10400,17600,1.6923074319527027,205,335,1.0,0
144,articuno,ice,flying,pressure,snow-cloak,,90,85,100,95,125,85,55.4,1.7,580,9000,11250,0.8947367479224475,265,315,1.0,2
145,zapdos,electric,flying,pressure,static,,90,90,85,125,90,100,52.6,1.6,580,7650,8100,0.7199999424000046,315,265,1.0,3
146,moltres,fire,flying,pressure,flame-body,,90,100,90,125,85,90,60.0,2.0,580,8100,7650,0.7999999360000051,315,265,1.0,2
147,dratini,dragon,,shed-skin,marvel-scale,,41,64,45,50,50,50,3.3,1.8,300,1845,2050,1.279999744000051,164,136,1.0,1
148,dragonair,dragon,,shed-skin,marvel-scale,,61,84,65,70,70,70,16.5,4.0,420,3965,4270,1.199999828571453,224,196,1.0,1
149,dragonite,dragon,flying,inner-focus,multiscale,,91,134,95,100,100,80,210.0,2.2,600,8645,9100,1.3399998660000134,314,286,1.0,2
150,mewtwo,psychic,,pressure,unnerve,,106,110,90,154,90,130,122.0,2.0,680,9540,9540,0.7142856679035281,394,286,1.0,4
151,mew,psychic,,synchronize,,,100,100,100,100,100,100,4.0,0.4,600,10000,10000,0.9999999000000099,300,300,1.0,3
152,chikorita,grass,,overgrow,leaf-guard,,45,49,65,49,65,45,6.4,0.9,318,2925,2925,0.9999997959184089,143,175,1.0,0
153,bayleef,grass,,overgrow,leaf-guard,,60,62,80,63,80,60,15.8,1.2,405,4800,4800,0.9841268279163765,185,220,1.0,1
154,meganium,grass,,overgrow,leaf-guard,,80,82,100,83,100,80,100.5,1.8,525,8000,8000,0.9879516881985917,245,280,1.0,2
155,cyndaquil,fire,,blaze,flash-fire,,39,52,43,60,50,65,7.9,0.5,309,1677,1950,0.8666665222222463,177,132,1.0,1
156,quilava,fire,,blaze,flash-fire,,58,64,58,80,65,80,19.0,0.9,405,3364,3770,0.7999999000000124,224,181,1.0,2
157,typhlosion,fire,,blaze,flash-fire,,78,84,78,109,85,100,79.5,1.7,534,6084,6630,0.7706421311337495,293,241,1.0,3
158,totodile,water,,torrent,sheer-force,,50,65,64,44,48,43,9.5,0.6,314,3200,2400,1.4772723915290018,152,162,1.0,0
159,croconaw,water,,torrent,sheer-force,,65,80,80,59,63,58,25.0,1.1,405,5200,4095,1.355931973570852,197,208,1.0,1
160,feraligatr,water,,torrent,sheer-force,,85,105,100,79,83,78,88.8,2.3,530,8500,7055,1.3291137558083852,262,268,1.0,1
161,sentret,normal,,run-away,keen-eye,frisk,35,46,34,35,45,20,6.0,0.8,215,1190,1575,1.3142853387756175,101,114,1.0,0
162,furret,normal,,run-away,keen-eye,frisk,85,76,64,45,55,90,32.5,1.8,415,5440,4675,1.6888885135803302,211,204,1.0,2
163,hoothoot,normal,flying,insomnia,keen-eye,tinted-lens,60,30,30,36,56,50,21.2,0.7,262,1800,3360,0.8333331018519161,116,146,1.0,1
164,noctowl,normal,flying,insomnia,keen-eye,tinted-lens,100,50,50,86,96,70,40.8,1.6,452,5000,9600,0.5813952812331068,206,246,1.0,1
165,ledyba,bug,flying,swarm,early-bird,rattled,40,20,30,40,80,55,10.8,1.0,265,1200,3200,0.49999987500003124,115,150,1.0,1
166,ledian,bug,flying,swarm,early-bird,iron-fist,55,35,50,55,110,85,35.6,1.4,390,2750,6050,0.6363635206611781,175,215,1.0,2
167,spinarak,bug,poison,swarm,insomnia,sniper,40,60,40,40,40,30,8.5,0.5,250,1600,1600,1.4999996250000935,130,120,1.0,0
168,ariados,bug,poison,swarm,insomnia,sniper,70,90,70,60,70,40,33.5,1.1,400,4900,4900,1.4999997500000415,190,210,1.0,0
169,crobat,poison,flying,inner-focus,infiltrator,,85,90,80,70,80,130,75.0,1.8,535,6800,6800,1.2857141020408425,290,245,1.0,4
170,chinchou,water,electric,volt-absorb,illuminate,water-absorb,75,38,38,56,56,67,12.0,0.5,330,2850,4200,0.6785713073979808,161,169,1.0,1
171,lanturn,water,electric,volt-absorb,illuminate,water-absorb,125,58,58,76,76,67,22.5,1.2,460,7250,9500,0.7631577943213428,201,259,1.0,1
172,pichu,electric,,static,lightning-rod,,20,40,15,35,35,60,2.0,0.3,205,300,700,1.1428568163266237,135,70,1.0,1
173,cleffa,fairy,,cute-charm,magic-guard,friend-guard,50,25,28,45,55,15,3.0,0.3,218,1400,2750,0.5555554320987929,85,133,1.0,0
174,igglybuff,normal,fairy,cute-charm,competitive,friend-guard,90,30,15,40,20,15,1.0,0.3,210,1350,1800,0.7499998125000468,85,125,1.0,0
175,togepi,fairy,,hustle,serene-grace,super-luck,35,20,65,40,65,20,1.5,0.3,245,2275,2275,0.49999987500003124,80,165,1.0,0
176,togetic,fairy,flying,hustle,serene-grace,super-luck,55,40,85,80,105,40,3.2,0.6,405,4675,5775,0.4999999375000078,160,245,1.0,0
177,natu,psychic,flying,synchronize,early-bird,magic-bounce,40,50,45,70,45,70,2.0,0.2,320,1800,1800,0.7142856122449125,190,130,1.0,1
178,xatu,psychic,flying,synchronize,early-bird,magic-bounce,65,75,70,95,70,95,15.0,1.5,470,4550,4550,0.789473601108042,265,205,1.0,2
179,mareep,electric,,static,plus,,55,40,40,65,45,35,7.8,0.6,280,2200,2475,0.6153845207100737,140,140,1.0,0
180,flaaffy,electric,,static,plus,,70,55,55,80,60,45,13.3,0.8,365,3850,4200,0.6874999140625108,180,185,1.0,0
181,ampharos,electric,,static,plus,,90,75,85,115,90,55,61.5,1.4,510,7650,8100,0.6521738563327081,245,265,1.0,1
182,bellossom,grass,,chlorophyll,healer,,75,80,95,90,100,50,5.8,0.4,490,7125,7500,0.8888887901234678,220,270,1.0,1
183,marill,water,fairy,thick-fat,huge-power,sap-sipper,70,20,50,20,50,40,8.5,0.4,250,3500,3500,0.9999995000002501,80,170,1.0,0
184,azumarill,water,fairy,thick-fat,huge-power,sap-sipper,100,50,80,60,80,50,28.5,0.8,420,8000,8000,0.8333331944444675,160,260,1.0,1
185,sudowoodo,rock,,sturdy,rock-head,rattled,70,100,115,30,65,30,38.0,1.2,410,8050,4550,3.3333322222225927,160,250,1.0,0
186,politoed,water,,water-absorb,damp,drizzle,90,75,75,90,100,70,33.9,1.1,500,6750,9000,0.833333240740751,235,265,1.0,1
187,hoppip,grass,flying,chlorophyll,leaf-guard,infiltrator,35,35,40,35,55,50,0.5,0.4,250,1400,1925,0.9999997142857958,120,130,1.0,1
188,skiploom,grass,flying,chlorophyll,leaf-guard,infiltrator,55,45,50,45,65,80,1.0,0.6,340,2750,3575,0.9999997777778271,170,170,1.0,2
189,jumpluff,grass,flying,chlorophyll,leaf-guard,infiltrator,75,55,70,55,95,110,3.0,0.8,460,5250,7125,0.9999998181818511,220,240,1.0,3
