a_weakness_overlap,a_role_balance,a_speed_variance,a_bst_efficiency,b_weakness_overlap,b_role_balance,b_speed_variance,b_bst_efficiency,team_a_wins
1,0.75,0.7071067811865476,0.8687618708452042,1,0.25,0.82915619758885,0.889451192082771,0
0,1.0,0.8660254037844386,0.8779189044038669,1,0.75,0.82915619758885,0.8457713774194666,0
1,0.75,0.82915619758885,0.8179559015519271,2,0.5,1.118033988749895,0.8925842484547557,0
3,0.5,0.8660254037844386,0.8630434291116866,1,0.75,0.7071067811865476,0.876179685369581,1
1,0.75,0.7071067811865476,0.8770177045177046,2,0.75,0.5,0.8613045990265746,1
0,0.75,0.8660254037844386,0.8391062683457287,0,0.75,0.4330127018922193,0.8527672558922559,0
4,0.75,1.5811388300841898,0.8554172225204696,0,1.0,1.6393596310755,0.8307802784217879,1
2,0.75,1.118033988749895,0.8522540947843312,0,0.75,0.82915619758885,0.8297909924541536,1
2,0.5,1.0897247358851685,0.8668543980732593,1,1.0,0.8660254037844386,0.8367275389120049,0
0,1.0,1.224744871391589,0.8726661573720398,3,0.75,0.7071067811865476,0.8515382819794585,1
3,0.5,0.82915619758885,0.8390769725020797,0,1.0,0.8660254037844386,0.8603306474264447,1
2,0.75,0.5,0.8438135514286538,0,0.75,1.0897247358851685,0.8546626872758191,0
0,0.5,0.5,0.8430765166185935,0,0.75,0.82915619758885,0.8566855001158957,1
2,0.5,0.5,0.8624995259445292,1,0.75,1.224744871391589,0.8599164988616016,0
1,0.5,1.7853571071357126,0.8883612203196135,1,0.75,0.8660254037844386,0.8597372735580283,0
2,0.75,0.82915619758885,0.8771194942623515,4,1.0,1.224744871391589,0.8657305027274067,0
2,0.5,0.7071067811865476,0.8235547552822915,1,0.75,0.5,0.8565850811780874,1
1,0.75,1.299038105676658,0.8738061069512604,0,0.75,0.0,0.872549316124061,1
2,0.75,0.4330127018922193,0.853748813840483,0,0.75,0.7071067811865476,0.8757422865000467,1
1,0.75,1.224744871391589,0.8561099210135354,2,0.5,1.118033988749895,0.861268315018315,0
4,0.75,1.118033988749895,0.874715367965368,0,1.0,1.0,0.8649309498075919,1
2,1.0,0.82915619758885,0.8750159269337041,2,0.5,0.4330127018922193,0.8588353898675378,1
1,0.75,0.82915619758885,0.8530266595715101,1,0.75,1.299038105676658,0.858656853856317,1
1,0.5,0.5,0.848148494333826,1,0.75,1.299038105676658,0.8613859433219705,0
2,0.5,1.479019945774904,0.8790800135352649,2,0.75,1.0897247358851685,0.8756844682590457,0
1,0.5,1.224744871391589,0.8711444445802876,1,1.0,1.479019945774904,0.8693177721271159,0
0,0.75,1.224744871391589,0.9016237143465086,0,0.75,1.118033988749895,0.8498042728237792,1
1,0.75,0.4330127018922193,0.8778296557701178,2,1.0,1.118033988749895,0.874051751094434,0
1,0.75,0.82915619758885,0.8570189089716247,1,0.75,0.82915619758885,0.8464624190573393,1
2,1.0,1.0,0.8659092985020095,2,0.75,1.6393596310755,0.8705558575403387,1
0,0.75,0.82915619758885,0.8263024985723086,1,0.75,1.0897247358851685,0.8694370327367994,1
1,0.75,0.82915619758885,0.8539453069363339,2,0.75,0.7071067811865476,0.8597030758512951,1
1,0.75,1.0897247358851685,0.8544965941606948,0,1.0,1.0,0.8747168729613922,1
1,0.5,1.224744871391589,0.8577584647317593,0,0.5,0.4330127018922193,0.8267417505147205,0
2,0.75,0.5,0.8610417999274285,1,0.75,1.0897247358851685,0.8843299620593135,1
1,0.5,0.4330127018922193,0.8737575675431464,3,0.75,1.5811388300841898,0.8582603828038267,0
2,0.75,1.299038105676658,0.8691095612752024,0,0.5,1.299038105676658,0.8481617647058823,1
1,0.75,1.118033988749895,0.8625411606049573,0,0.75,0.8660254037844386,0.8369726110789896,0
0,0.5,0.82915619758885,0.8713843947954117,2,0.75,1.6393596310755,0.8707323232323232,0
1,0.5,0.4330127018922193,0.8571057706571725,3,1.0,1.0897247358851685,0.8699936524121221,0
1,0.75,1.299038105676658,0.8600132036499595,3,0.75,0.82915619758885,0.8325827861832715,0
0,1.0,1.0897247358851685,0.8631107773000022,2,0.75,1.479019945774904,0.8520759619637329,1
1,0.5,0.82915619758885,0.8830579836829837,0,0.75,1.0897247358851685,0.855959907048133,0
1,0.75,1.299038105676658,0.8587429378531073,2,0.75,0.82915619758885,0.8589737839035851,1
1,0.75,1.0,0.8777944845581638,1,0.75,0.4330127018922193,0.8877207209310094,0
1,0.5,1.0897247358851685,0.8727977511195637,1,1.0,1.299038105676658,0.853176755411963,0
3,0.75,1.299038105676658,0.865717105038857,1,0.5,0.4330127018922193,0.8667161016949153,1
0,0.75,0.7071067811865476,0.8652157519899455,2,0.75,0.8660254037844386,0.8952155286349106,0
0,0.5,0.0,0.8822466510056182,4,1.0,1.299038105676658,0.8853607077253665,0
0,0.5,1.224744871391589,0.8753836358887294,3,0.5,0.82915619758885,0.8670061109003684,0
1,0.75,0.82915619758885,0.8682995218225171,1,0.75,0.7071067811865476,0.8425195330183906,1
1,1.0,1.224744871391589,0.8609181297886572,0,0.75,0.5,0.8605584051868411,1
2,0.75,0.8660254037844386,0.841721339718501,1,0.75,0.4330127018922193,0.8723886332308723,1
0,0.75,0.82915619758885,0.8472464665574453,1,0.5,0.4330127018922193,0.8457491914291491,1
1,0.75,0.82915619758885,0.8346684133910104,0,0.5,0.4330127018922193,0.8482478354743817,1
1,0.75,0.82915619758885,0.8566471362273383,0,0.5,0.5,0.8809692028985507,1
1,0.75,0.82915619758885,0.8413718956482115,1,0.5,0.82915619758885,0.8709121230831031,1
2,0.75,1.5,0.8936473759404155,3,0.75,0.4330127018922193,0.8452198881009952,1
1,1.0,1.118033988749895,0.8588306565295,0,0.5,1.224744871391589,0.8919525548197796,0
2,0.75,0.82915619758885,0.8259941204020151,1,1.0,0.4330127018922193,0.8620238095238095,1
0,0.75,1.299038105676658,0.860337032602444,2,0.75,0.4330127018922193,0.8653819444444445,1
1,0.5,0.4330127018922193,0.8609805502468546,1,0.75,1.0,0.8335694231160216,0
1,0.75,0.82915619758885,0.9108437965829608,1,1.0,1.7853571071357126,0.855242434660406,0
1,0.75,1.224744871391589,0.8544322342122068,1,0.75,0.82915619758885,0.8694555057795476,1
0,0.75,0.82915619758885,0.8515823059747527,1,0.5,0.4330127018922193,0.8411400255813936,0
0,1.0,1.299038105676658,0.8833173782441938,0,0.75,1.224744871391589,0.858191750239943,1
1,0.25,0.4330127018922193,0.8740175317393568,0,0.75,0.7071067811865476,0.8859742690735405,0
4,0.75,0.4330127018922193,0.8784211670258731,3,0.75,1.5,0.861540791923472,0
5,0.75,1.118033988749895,0.8616290073714026,2,1.0,0.82915619758885,0.872583138764435,0
0,0.5,1.479019945774904,0.8661461721969204,0,0.5,0.5,0.8449142609607756,1
0,0.5,0.5,0.869790945895748,1,0.75,0.82915619758885,0.8501317416059844,0
0,0.75,1.0897247358851685,0.8606592717522921,3,0.25,0.5,0.8450563832802358,0
2,0.75,1.5811388300841898,0.8801808644115962,0,0.5,0.5,0.8525972930208774,1
0,0.75,1.5,0.8548375262609655,3,0.75,1.5,0.863394660894661,1
2,0.75,0.7071067811865476,0.8834402637729775,0,0.75,0.82915619758885,0.874326786778501,0
1,1.0,0.4330127018922193,0.8692907987181068,0,0.75,0.82915619758885,0.8577158512986571,1
2,0.5,1.6393596310755,0.8813196970273135,0,0.5,0.5,0.8476520971604955,1
3,0.5,1.6393596310755,0.83807662682443,4,0.5,0.4330127018922193,0.8476153366583541,1
1,0.5,1.6393596310755,0.8745047209683321,1,1.0,1.299038105676658,0.8768472253766372,0
1,0.75,0.82915619758885,0.8913307264511644,1,0.75,0.0,0.8396271601525559,0
2,0.5,0.5,0.8117656779310914,4,0.75,1.118033988749895,0.8185653403661659,0
1,0.5,0.82915619758885,0.862841002510551,0,1.0,1.479019945774904,0.8688900619345836,1
1,0.75,0.82915619758885,0.8386230803171593,3,0.75,1.0897247358851685,0.8490315949091933,0
1,0.75,0.82915619758885,0.8878954640747093,1,0.75,0.7071067811865476,0.8388305322128852,0
3,1.0,1.224744871391589,0.8616702741702742,0,0.5,0.4330127018922193,0.8426062886388973,1
2,0.75,0.7071067811865476,0.8742262560165055,1,0.5,0.4330127018922193,0.8334197119449969,0
1,0.75,1.118033988749895,0.8787438526461342,0,0.5,1.118033988749895,0.846780619008358,1
3,0.5,1.299038105676658,0.8993120932796432,5,0.5,1.6393596310755,0.8406059220314217,1
1,0.5,0.5,0.8643051665110488,0,0.75,0.4330127018922193,0.8626081172576063,1
0,0.5,0.7071067811865476,0.8593385790685808,1,0.5,0.82915619758885,0.8729294907950662,0
2,0.5,1.118033988749895,0.8470706673651467,1,0.75,1.299038105676658,0.8474397564420559,1
1,1.0,1.5811388300841898,0.8770558526440879,0,0.5,0.4330127018922193,0.8230583387913445,1
0,0.5,1.299038105676658,0.8222802998168028,0,0.75,0.82915619758885,0.8525039049307666,1
1,0.75,1.0897247358851685,0.8381373111520486,0,1.0,1.5,0.8702466923380622,0
2,1.0,1.299038105676658,0.8247408572094106,1,0.75,0.82915619758885,0.8779654809310539,0
3,0.75,1.299038105676658,0.8642014406358668,5,0.5,0.4330127018922193,0.8645642401160227,1
0,0.75,0.4330127018922193,0.8535115770772581,1,0.5,0.5,0.8733269206741193,1
1,0.75,1.299038105676658,0.820621278042376,0,0.5,1.224744871391589,0.8514755392621338,1
2,0.75,1.6583123951777,0.8585617773967971,2,1.0,1.479019945774904,0.8584047503275389,0
1,1.0,0.5,0.8682454790407078,3,0.75,0.82915619758885,0.8526954300745488,0
2,0.75,0.4330127018922193,0.852068298900595,3,0.5,0.4330127018922193,0.8714249911987326,0
0,0.75,1.5811388300841898,0.8231910734532656,0,0.75,0.4330127018922193,0.8629126915827154,1
3,0.75,0.4330127018922193,0.8343694665366147,4,0.75,1.0897247358851685,0.8558393620893621,1
1,0.75,0.4330127018922193,0.8479194472194473,1,0.75,0.7071067811865476,0.8584268768851683,1
3,1.0,0.82915619758885,0.8650090350890957,3,1.0,0.5,0.856133864885739,0
0,0.75,1.6393596310755,0.8267380764633022,0,0.75,1.7853571071357126,0.8658871506162147,1
1,0.75,0.7071067811865476,0.8740734865254849,2,0.75,0.7071067811865476,0.8701995557255502,0
3,0.5,1.0,0.8635235875068934,1,0.75,0.7071067811865476,0.8940741503642755,1
3,1.0,0.82915619758885,0.8344182781380269,2,1.0,1.118033988749895,0.9056264172335601,0
1,1.0,0.8660254037844386,0.8675251757450295,1,0.5,0.8660254037844386,0.8579488955591472,1
1,0.5,0.4330127018922193,0.8303100374213326,0,0.75,0.4330127018922193,0.8690502619329685,1
1,0.75,1.0,0.8403092006033183,2,0.5,0.4330127018922193,0.8787515371588386,1
0,0.75,1.4142135623730951,0.8769239463527012,2,0.75,1.299038105676658,0.8498456160828174,1
3,0.75,0.7071067811865476,0.8066643185955635,0,0.5,1.224744871391589,0.8786337701217264,0
1,1.0,0.7071067811865476,0.8284756518342479,2,0.75,0.82915619758885,0.8752860675061814,0
3,0.75,1.224744871391589,0.8761973542371919,2,0.75,1.6393596310755,0.8759158891075389,0
4,0.25,0.4330127018922193,0.8792059596144959,2,1.0,1.118033988749895,0.8648219715098294,0
1,0.5,0.82915619758885,0.865403960673911,0,0.5,0.5,0.8348699160877677,0
0,1.0,0.82915619758885,0.8420749209795717,1,1.0,1.224744871391589,0.844690778262433,0
1,0.5,0.5,0.887860962566845,1,1.0,1.299038105676658,0.8562607218395214,0
0,0.75,1.118033988749895,0.8756387616349346,1,1.0,1.118033988749895,0.8613745194268406,0
3,0.75,1.0897247358851685,0.8619150018497965,0,0.75,1.0897247358851685,0.8583431401392566,1
1,0.75,0.82915619758885,0.8596382787071731,1,1.0,0.82915619758885,0.8300757756440834,0
1,0.5,1.224744871391589,0.8472453703703704,3,0.5,1.0,0.8417657167814652,0
5,0.75,0.8660254037844386,0.8828353845046601,1,0.5,1.224744871391589,0.8732399153421355,0
2,0.75,1.299038105676658,0.8399646211088039,0,0.75,1.0897247358851685,0.8538621629946015,1
4,0.5,1.7320508075688772,0.8717458219698384,1,0.75,0.7071067811865476,0.8571138287089654,0
2,1.0,1.479019945774904,0.8754528204243575,2,0.75,0.82915619758885,0.8534611838131239,0
2,0.5,0.4330127018922193,0.8711264630353872,2,1.0,0.82915619758885,0.8748558118899734,0
1,0.75,0.82915619758885,0.8672305434228409,0,0.75,1.5,0.8786661643105752,1
1,0.75,0.5,0.8458503256970811,2,0.5,1.0,0.8941119000791806,0
1,1.0,0.5,0.8577419354838711,1,1.0,1.299038105676658,0.8600355203714767,0
3,0.75,1.0897247358851685,0.8396289462613404,4,0.75,1.0897247358851685,0.8696479885057472,0
1,1.0,0.4330127018922193,0.8701111042492407,0,0.75,1.0897247358851685,0.8682357504022064,1
0,0.75,0.7071067811865476,0.8351302713684876,1,1.0,0.82915619758885,0.8752326315571565,1
0,0.5,0.7071067811865476,0.8457843137254902,0,0.5,1.6393596310755,0.8895857600465928,1
3,0.5,1.0897247358851685,0.8522530213905838,2,0.5,0.82915619758885,0.9009833730789614,0
0,0.75,1.224744871391589,0.8395911801251607,0,0.75,0.82915619758885,0.8466675275482094,0
2,0.75,1.299038105676658,0.8778053160456825,1,0.5,1.224744871391589,0.8849572692748082,0
1,1.0,0.8660254037844386,0.8902874269575515,1,0.5,1.6393596310755,0.8580995100846218,1
0,1.0,1.0,0.865886079633811,1,0.75,0.7071067811865476,0.8427896606293028,1
1,0.75,1.224744871391589,0.8322234277596294,0,0.5,0.4330127018922193,0.8721024664990182,1
0,0.75,1.0,0.8594965872088169,2,1.0,1.6393596310755,0.858647787182034,0
1,0.75,1.299038105676658,0.8846619573670462,3,0.5,0.4330127018922193,0.8233953645017329,0
0,0.75,1.5,0.8725887209996642,1,0.75,1.479019945774904,0.8736692419241924,0
0,0.5,1.299038105676658,0.862531328320802,0,0.5,1.118033988749895,0.8538585920428095,1
0,0.5,0.82915619758885,0.8827035312334911,2,0.75,1.299038105676658,0.8646549528902471,0
0,0.75,0.82915619758885,0.8899470899470899,3,1.0,1.299038105676658,0.8827594733124298,1
3,0.5,0.0,0.8722214205547539,0,1.0,1.299038105676658,0.8399083305011139,0
0,0.25,0.5,0.864019689987432,1,0.75,0.82915619758885,0.846323331783931,1
0,0.75,1.224744871391589,0.8316104785553151,0,1.0,1.299038105676658,0.8709443326402178,0
1,0.75,0.7071067811865476,0.8713056553085808,0,0.75,0.5,0.8743135560675883,1
2,0.75,0.4330127018922193,0.8526576408837819,0,1.0,0.5,0.8524813708592167,0
1,0.5,0.7071067811865476,0.8259621187184552,1,0.5,0.5,0.8297225591267435,0
1,1.0,1.118033988749895,0.8226319493569092,3,0.25,0.4330127018922193,0.8598897193427668,1
1,0.75,0.4330127018922193,0.885014587351036,1,0.5,0.7071067811865476,0.881547619047619,0
1,0.75,0.82915619758885,0.8677467652140218,1,1.0,1.299038105676658,0.85134908647824,0
3,1.0,1.118033988749895,0.8754263441076628,3,0.75,1.6583123951777,0.8361806428514028,0
2,0.75,0.7071067811865476,0.8607104788818183,1,0.75,0.82915619758885,0.8668102073365231,1
2,1.0,1.5,0.8499072356215213,0,1.0,0.7071067811865476,0.8587495626957331,1
2,0.5,0.5,0.8421197983697983,1,1.0,1.118033988749895,0.8458617250823267,0
1,0.75,1.5811388300841898,0.8645768701660828,0,0.75,1.479019945774904,0.8339051137696458,1
2,0.75,1.118033988749895,0.8966012162440734,0,0.75,0.7071067811865476,0.8796065978233513,0
0,0.75,1.299038105676658,0.8751544525230107,3,1.0,0.82915619758885,0.8442185847498807,0
2,0.75,0.82915619758885,0.8707025978407558,2,0.75,0.82915619758885,0.8429527472871126,1
0,0.75,1.6583123951777,0.8725424937905397,1,0.75,1.299038105676658,0.8533318470279586,1
1,0.75,0.8660254037844386,0.8479546517737131,0,0.75,1.5811388300841898,0.8410831574008913,0
1,0.75,0.7071067811865476,0.8182146141663618,2,0.75,1.7320508075688772,0.8792111363025202,1
1,1.0,1.0897247358851685,0.8591078411825024,1,1.0,0.8660254037844386,0.8613532322633257,1
0,0.5,0.7071067811865476,0.8725,1,0.75,1.0897247358851685,0.8772017045454545,0
0,0.75,1.118033988749895,0.8710560053981107,2,0.75,0.82915619758885,0.8781547975965919,1
0,1.0,1.299038105676658,0.8377689794400984,2,0.5,1.5,0.8359311682232575,1
0,0.75,0.0,0.8606351144066662,0,0.75,0.4330127018922193,0.8646212648969043,0
1,0.75,0.8660254037844386,0.8678999684202917,1,1.0,1.0897247358851685,0.8921152390414685,1
3,1.0,0.82915619758885,0.8648105224057572,4,0.75,0.4330127018922193,0.8448424706800093,1
2,0.75,1.0,0.8759072454892889,1,0.75,1.0897247358851685,0.8796092755746475,1
0,0.75,1.7853571071357126,0.8032758537434166,3,0.5,0.4330127018922193,0.8624912186071632,1
0,0.75,0.4330127018922193,0.8541796227197347,0,0.75,0.7071067811865476,0.8514710598043932,1
1,1.0,1.299038105676658,0.8402310924369748,0,0.75,1.6583123951777,0.8885328324619622,1
2,0.5,0.82915619758885,0.8661684074260619,0,0.75,1.0897247358851685,0.8446002635977884,1
0,0.75,0.7071067811865476,0.8540141960523505,5,0.75,1.299038105676658,0.8597954304188113,1
1,0.5,1.299038105676658,0.8199641849067828,0,0.75,1.0897247358851685,0.870164467253177,1
2,0.5,1.118033988749895,0.8901489686783803,0,0.75,1.6393596310755,0.8610695826806355,0
1,0.25,0.4330127018922193,0.8615176750975427,2,0.75,1.299038105676658,0.8722222222222222,0
3,0.75,1.6393596310755,0.8392174754241704,1,0.75,0.7071067811865476,0.8414450233588158,0
3,0.75,1.479019945774904,0.8515873015873017,1,0.75,0.5,0.8668056400892676,1
2,0.75,0.82915619758885,0.8424925584194989,1,0.75,1.299038105676658,0.830961834989214,1
3,0.75,1.0,0.8680662102643069,1,0.75,0.0,0.8733155906593406,1
0,0.5,0.4330127018922193,0.8612573099415205,2,0.75,1.224744871391589,0.8552863784636736,0
1,0.75,1.0,0.8678066265419224,1,0.5,0.82915619758885,0.8614073894184391,1
1,0.75,1.224744871391589,0.8370151460226114,2,0.75,0.4330127018922193,0.876991154728092,1
1,0.75,1.299038105676658,0.8823459452678653,2,1.0,1.224744871391589,0.8728864610665925,0
0,0.5,0.0,0.8522654821380051,0,0.75,0.82915619758885,0.8786032944406315,0
0,0.5,0.0,0.8700501160059984,1,0.75,0.7071067811865476,0.8802715483749967,0
0,0.75,0.7071067811865476,0.8561280041797282,2,0.75,1.299038105676658,0.8493738595491989,1
5,0.75,1.224744871391589,0.8693289898797242,3,0.75,0.5,0.8793716902030009,0
0,1.0,0.7071067811865476,0.8534940223283765,2,1.0,1.479019945774904,0.8564956199631122,1
2,0.75,1.0,0.8657562360105163,2,0.5,1.0897247358851685,0.8917379314485693,0
2,0.75,1.299038105676658,0.8667261302920974,0,1.0,1.6583123951777,0.835939981147235,0
0,1.0,0.4330127018922193,0.8789869696740085,3,0.75,1.0897247358851685,0.8474321711150756,0
2,0.75,1.0897247358851685,0.8703815645514223,2,0.75,0.82915619758885,0.8736904761904761,0
0,0.5,0.7071067811865476,0.8717427564671353,1,0.75,1.299038105676658,0.8794595717089909,0
1,0.75,0.82915619758885,0.8728521478521478,2,0.5,0.8660254037844386,0.868438004895157,0
0,0.75,1.4142135623730951,0.8372373920695155,1,1.0,1.5,0.8510246472535952,1
2,0.75,1.224744871391589,0.819476256005971,0,1.0,1.0897247358851685,0.8699642606812507,1
1,0.75,1.0897247358851685,0.8298200371798503,2,0.75,0.82915619758885,0.8630444187069604,1
3,1.0,1.224744871391589,0.8793551441195036,0,0.75,0.4330127018922193,0.8523264335764336,1
1,0.5,0.82915619758885,0.857098864181731,0,0.75,0.7071067811865476,0.8099643857161041,1
1,0.75,1.224744871391589,0.8654519171304886,0,0.75,0.82915619758885,0.8534351937874303,1
0,0.75,0.4330127018922193,0.8784931724086767,0,0.75,0.82915619758885,0.85650348062954,1
0,1.0,1.0897247358851685,0.8683832820182482,0,0.75,1.0897247358851685,0.8614531172301406,1
1,1.0,1.118033988749895,0.8838592340532723,4,0.5,0.4330127018922193,0.8780128492474129,1
6,0.75,1.299038105676658,0.849243382996956,0,0.75,1.224744871391589,0.8536648557757713,1
2,1.0,1.118033988749895,0.8699504406505685,2,0.75,0.82915619758885,0.8513366288574161,1
1,0.75,1.224744871391589,0.8299412945414413,0,0.75,1.299038105676658,0.8748314681433078,1
2,0.75,0.7071067811865476,0.8483918665925176,0,0.75,1.0897247358851685,0.8685176422652026,0
2,1.0,0.82915619758885,0.9004533577703209,3,1.0,1.0,0.8840486796929627,0
1,0.75,1.118033988749895,0.8700599647753838,1,0.75,1.0897247358851685,0.8480445795339413,1
3,0.75,0.8660254037844386,0.8481658487756049,3,0.75,1.479019945774904,0.8544411746579564,0
1,0.75,0.7071067811865476,0.8707977907954441,1,0.75,1.0,0.83833259566542,0
1,0.75,1.224744871391589,0.8906029447771395,0,0.75,1.5,0.8442467777802066,0
3,1.0,0.7071067811865476,0.850540607309405,3,0.75,0.7071067811865476,0.884192785009263,0
0,1.0,1.5811388300841898,0.8661281872057733,0,0.75,0.82915619758885,0.8565732366392884,0
3,0.5,1.118033988749895,0.8146023678778673,4,0.5,1.118033988749895,0.9133434423596546,1
5,0.5,1.7853571071357126,0.8473031722370183,1,0.5,0.4330127018922193,0.8552717510861794,0
3,0.75,1.5,0.8807750146461134,0,1.0,0.5,0.8358502270886682,0
0,1.0,0.82915619758885,0.8598011363636363,1,0.75,1.0,0.8825360672724375,1
1,0.5,1.6583123951777,0.9015915300546449,3,1.0,1.0,0.8612917822215735,0
1,0.5,1.118033988749895,0.8667371665900043,0,0.5,0.82915619758885,0.862921628880252,0
3,0.75,1.224744871391589,0.8221639726226881,0,0.5,0.4330127018922193,0.8478809043841536,1
2,1.0,1.5,0.8535132505414644,1,1.0,1.299038105676658,0.8501220330237358,1
1,1.0,0.4330127018922193,0.856650877489185,1,0.75,1.0897247358851685,0.8221692178912458,0
0,0.75,1.0897247358851685,0.8708519341038137,1,1.0,1.118033988749895,0.8697418261562998,0
1,0.5,0.7071067811865476,0.8821581732472887,0,0.75,0.82915619758885,0.8446643301710073,1
2,1.0,1.224744871391589,0.8452363597472686,5,1.0,0.82915619758885,0.8603972481779468,0
0,0.75,0.82915619758885,0.8644000110165524,1,0.75,0.7071067811865476,0.8469001956013549,0
1,1.0,1.299038105676658,0.8799716368178963,4,0.75,1.5,0.8690050210367548,0
0,0.5,0.4330127018922193,0.829813687987377,5,1.0,0.5,0.8459482955592408,0
1,0.75,1.224744871391589,0.8546787461977852,0,0.5,1.0,0.8670253947956243,1
0,0.5,0.8660254037844386,0.8418981855334404,2,1.0,1.0,0.847364562260646,0
1,1.0,0.7071067811865476,0.878931494452722,0,0.5,1.299038105676658,0.8760198135198135,1
0,0.75,0.8660254037844386,0.8437820628110438,1,1.0,0.82915619758885,0.851345411663808,1
1,1.0,0.7071067811865476,0.8757386010104782,0,1.0,0.82915619758885,0.8728011571761572,1
4,0.5,0.4330127018922193,0.8795918438528936,0,0.75,0.4330127018922193,0.8729553501180173,0
0,0.75,0.4330127018922193,0.8697947535178455,1,0.5,0.4330127018922193,0.8539895787980354,0
4,0.75,0.4330127018922193,0.854443582546667,0,0.75,0.4330127018922193,0.8827391178375431,1
3,1.0,1.118033988749895,0.8170554074638233,4,0.75,1.5,0.8651857181286509,1
2,0.25,0.4330127018922193,0.8501536840352629,1,0.75,0.4330127018922193,0.8622621006444536,0
5,1.0,1.224744871391589,0.8512312389431033,0,0.5,0.82915619758885,0.8692455858747994,1
1,0.75,0.82915619758885,0.8571367678629636,2,1.0,0.82915619758885,0.8777953002149304,0
2,1.0,1.479019945774904,0.8515756704980844,1,0.5,0.4330127018922193,0.8493635021212785,1
0,1.0,0.82915619758885,0.8341633770187427,1,0.75,0.7071067811865476,0.8499337360362205,1
3,0.5,1.6393596310755,0.8648266405588512,1,0.5,0.0,0.882437216779322,1
1,0.5,1.224744871391589,0.8567877938794274,0,0.75,1.0897247358851685,0.8427508805203683,0
