id,name,type,category,base_power,accuracy,priority,target,flags,secondary,boosts,self,volatileStatus,selfSwitch,recoil,drain,multihit,selfdestruct,critRatio
bounce,Bounce,flying,Physical,85,85,0,any,"{""contact"": 1, ""charge"": 1, ""protect"": 1, ""mirror"": 1, ""gravity"": 1, ""distance"": 1, ""metronome"": 1, ""nosleeptalk"": 1, ""noassist"": 1, ""failinstruct"": 1}","{""chance"": 30, ""status"": ""par""}",{},{},,False,"[0, 1]","[0, 1]",1,,1
bouncybubble,Bouncy Bubble,water,Special,60,100,0,normal,"{""protect"": 1, ""mirror"": 1, ""heal"": 1}",{},{},{},,False,"[0, 1]","[1, 2]",1,,1
branchpoke,Branch Poke,grass,Physical,40,100,0,normal,"{""contact"": 1, ""protect"": 1, ""mirror"": 1}",{},{},{},,False,"[0, 1]","[0, 1]",1,,1
bravebird,Brave Bird,flying,Physical,120,100,0,any,"{""contact"": 1, ""protect"": 1, ""mirror"": 1, ""distance"": 1, ""metronome"": 1}",{},{},{},,False,"[33, 100]","[0, 1]",1,,1
breakingswipe,Breaking Swipe,dragon,Physical,60,100,0,allAdjacentFoes,"{""contact"": 1, ""protect"": 1, ""mirror"": 1}","{""chance"": 100, ""boosts"": {""atk"": -1}}",{},{},,False,"[0, 1]","[0, 1]",1,,1
breakneckblitz,Breakneck Blitz,normal,Physical,1,true,0,normal,{},{},{},{},,False,"[0, 1]","[0, 1]",1,,1
brickbreak,Brick Break,fighting,Physical,75,100,0,normal,"{""contact"": 1, ""protect"": 1, ""mirror"": 1, ""metronome"": 1}",{},{},{},,False,"[0, 1]","[0, 1]",1,,1
brine,Brine,water,Special,65,100,0,normal,"{""protect"": 1, ""mirror"": 1, ""metronome"": 1}",{},{},{},,False,"[0, 1]","[0, 1]",1,,1
brutalswing,Brutal Swing,dark,Physical,60,100,0,allAdjacent,"{""contact"": 1, ""protect"": 1, ""mirror"": 1, ""metronome"": 1}",{},{},{},,False,"[0, 1]","[0, 1]",1,,1
bubble,Bubble,water,Special,40,100,0,allAdjacentFoes,"{""protect"": 1, ""mirror"": 1, ""metronome"": 1}","{""chance"": 10, ""boosts"": {""spe"": -1}}",{},{},,False,"[0, 1]","[0, 1]",1,,1
bubblebeam,Bubble Beam,water,Special,65,100,0,normal,"{""protect"": 1, ""mirror"": 1, ""metronome"": 1}","{""chance"": 10, ""boosts"": {""spe"": -1}}",{},{},,False,"[0, 1]","[0, 1]",1,,1
bugbite,Bug Bite,bug,Physical,60,100,0,normal,"{""contact"": 1, ""protect"": 1, ""mirror"": 1, ""metronome"": 1}",{},{},{},,False,"[0, 1]","[0, 1]",1,,1
bugbuzz,Bug Buzz,bug,Special,90,100,0,normal,"{""protect"": 1, ""mirror"": 1, ""sound"": 1, ""bypasssub"": 1, ""metronome"": 1}","{""chance"": 10, ""boosts"": {""spd"": -1}}",{},{},,False,"[0, 1]","[0, 1]",1,,1
bulkup,Bulk Up,fighting,Status,0,true,0,self,"{""snatch"": 1, ""metronome"": 1}",{},"{""atk"": 1, ""def"": 1}",{},,False,"[0, 1]","[0, 1]",1,,1
bulldoze,Bulldoze,ground,Physical,60,100,0,allAdjacent,"{""protect"": 1, ""mirror"": 1, ""nonsky"": 1, ""metronome"": 1}","{""chance"": 100, ""boosts"": {""spe"": -1}}",{},{},,False,"[0, 1]","[0, 1]",1,,1
bulletpunch,Bullet Punch,steel,Physical,40,100,1,normal,"{""contact"": 1, ""protect"": 1, ""mirror"": 1, ""punch"": 1, ""metronome"": 1}",{},{},{},,False,"[0, 1]","[0, 1]",1,,1
bulletseed,Bullet Seed,grass,Physical,25,100,0,normal,"{""protect"": 1, ""mirror"": 1, ""metronome"": 1, ""bullet"": 1}",{},{},{},,False,"[0, 1]","[0, 1]","[2, 5]",,1
burningbulwark,Burning Bulwark,fire,Status,0,true,4,self,"{""metronome"": 1, ""noassist"": 1, ""failcopycat"": 1}",{},{},{},burningbulwark,False,"[0, 1]","[0, 1]",1,,1
burningjealousy,Burning Jealousy,fire,Special,70,100,0,allAdjacentFoes,"{""protect"": 1, ""mirror"": 1, ""metronome"": 1}","{""chance"": 100}",{},{},,False,"[0, 1]","[0, 1]",1,,1
burnup,Burn Up,fire,Special,130,100,0,normal,"{""protect"": 1, ""mirror"": 1, ""defrost"": 1, ""metronome"": 1}",{},{},{},,False,"[0, 1]","[0, 1]",1,,1
buzzybuzz,Buzzy Buzz,electric,Special,60,100,0,normal,"{""protect"": 1, ""mirror"": 1}","{""chance"": 100, ""status"": ""par""}",{},{},,False,"[0, 1]","[0, 1]",1,,1
calmmind,Calm Mind,psychic,Status,0,true,0,self,"{""snatch"": 1, ""metronome"": 1}",{},"{""spa"": 1, ""spd"": 1}",{},,False,"[0, 1]","[0, 1]",1,,1
camouflage,Camouflage,normal,Status,0,true,0,self,"{""snatch"": 1, ""metronome"": 1}",{},{},{},,False,"[0, 1]","[0, 1]",1,,1
captivate,Captivate,normal,Status,0,100,0,allAdjacentFoes,"{""protect"": 1, ""reflectable"": 1, ""mirror"": 1, ""metronome"": 1}",{},"{""spa"": -2}",{},,False,"[0, 1]","[0, 1]",1,,1
catastropika,Catastropika,electric,Physical,210,true,0,normal,"{""contact"": 1}",{},{},{},,False,"[0, 1]","[0, 1]",1,,1
ceaselessedge,Ceaseless Edge,dark,Physical,65,90,0,normal,"{""contact"": 1, ""protect"": 1, ""mirror"": 1, ""metronome"": 1, ""slicing"": 1}",{},{},{},,False,"[0, 1]","[0, 1]",1,,1
celebrate,Celebrate,normal,Status,0,true,0,self,"{""nosleeptalk"": 1, ""noassist"": 1, ""failcopycat"": 1, ""failmimic"": 1, ""failinstruct"": 1}",{},{},{},,False,"[0, 1]","[0, 1]",1,,1
charge,Charge,electric,Status,0,true,0,self,"{""snatch"": 1, ""metronome"": 1}",{},"{""spd"": 1}",{},charge,False,"[0, 1]","[0, 1]",1,,1
chargebeam,Charge Beam,electric,Special,50,90,0,normal,"{""protect"": 1, ""mirror"": 1, ""metronome"": 1}","{""chance"": 70, ""self"": {""boosts"": {""spa"": 1}}}",{},{},,False,"[0, 1]","[0, 1]",1,,1
charm,Charm,fairy,Status,0,100,0,normal,"{""protect"": 1, ""reflectable"": 1, ""mirror"": 1, ""allyanim"": 1, ""metronome"": 1}",{},"{""atk"": -2}",{},,False,"[0, 1]","[0, 1]",1,,1
chatter,Chatter,flying,Special,65,100,0,any,"{""protect"": 1, ""mirror"": 1, ""sound"": 1, ""distance"": 1, ""bypasssub"": 1, ""nosleeptalk"": 1, ""noassist"": 1, ""failcopycat"": 1, ""failmimic"": 1, ""failinstruct"": 1}","{""chance"": 100, ""volatileStatus"": ""confusion""}",{},{},,False,"[0, 1]","[0, 1]",1,,1
chillingwater,Chilling Water,water,Special,50,100,0,normal,"{""protect"": 1, ""mirror"": 1}","{""chance"": 100, ""boosts"": {""atk"": -1}}",{},{},,False,"[0, 1]","[0, 1]",1,,1
chillyreception,Chilly Reception,ice,Status,0,true,0,all,{},{},{},{},,true,"[0, 1]","[0, 1]",1,,1
chipaway,Chip Away,normal,Physical,70,100,0,normal,"{""contact"": 1, ""protect"": 1, ""mirror"": 1, ""metronome"": 1}",{},{},{},,False,"[0, 1]","[0, 1]",1,,1
chloroblast,Chloroblast,grass,Special,150,95,0,normal,"{""protect"": 1, ""mirror"": 1, ""metronome"": 1}",{},{},{},,False,"[0, 1]","[0, 1]",1,,1
circlethrow,Circle Throw,fighting,Physical,60,90,-6,normal,"{""contact"": 1, ""protect"": 1, ""mirror"": 1, ""metronome"": 1, ""noassist"": 1, ""failcopycat"": 1}",{},{},{},,False,"[0, 1]","[0, 1]",1,,1
clamp,Clamp,water,Physical,35,85,0,normal,"{""contact"": 1, ""protect"": 1, ""mirror"": 1, ""metronome"": 1}",{},{},{},partiallytrapped,False,"[0, 1]","[0, 1]",1,,1
clangingscales,Clanging Scales,dragon,Special,110,100,0,allAdjacentFoes,"{""protect"": 1, ""mirror"": 1, ""sound"": 1, ""bypasssub"": 1, ""metronome"": 1}",{},{},{},,False,"[0, 1]","[0, 1]",1,,1
clangoroussoul,Clangorous Soul,dragon,Status,0,100,0,self,"{""snatch"": 1, ""sound"": 1, ""dance"": 1}",{},"{""atk"": 1, ""def"": 1, ""spa"": 1, ""spd"": 1, ""spe"": 1}",{},,False,"[0, 1]","[0, 1]",1,,1
clangoroussoulblaze,Clangorous Soulblaze,dragon,Special,185,true,0,allAdjacentFoes,"{""sound"": 1, ""bypasssub"": 1}",{},{},{},,False,"[0, 1]","[0, 1]",1,,1
clearsmog,Clear Smog,poison,Special,50,true,0,normal,"{""protect"": 1, ""mirror"": 1, ""metronome"": 1}",{},{},{},,False,"[0, 1]","[0, 1]",1,,1
closecombat,Close Combat,fighting,Physical,120,100,0,normal,"{""contact"": 1, ""protect"": 1, ""mirror"": 1, ""metronome"": 1}",{},{},"{""boosts"": {""def"": -1, ""spd"": -1}}",,False,"[0, 1]","[0, 1]",1,,1
coaching,Coaching,fighting,Status,0,true,0,adjacentAlly,"{""bypasssub"": 1, ""allyanim"": 1, ""metronome"": 1}",{},"{""atk"": 1, ""def"": 1}",{},,False,"[0, 1]","[0, 1]",1,,1
coil,Coil,poison,Status,0,true,0,self,"{""snatch"": 1, ""metronome"": 1}",{},"{""atk"": 1, ""def"": 1, ""accuracy"": 1}",{},,False,"[0, 1]","[0, 1]",1,,1
collisioncourse,Collision Course,fighting,Physical,100,100,0,normal,"{""contact"": 1, ""protect"": 1, ""mirror"": 1}",{},{},{},,False,"[0, 1]","[0, 1]",1,,1
combattorque,Combat Torque,fighting,Physical,100,100,0,normal,"{""protect"": 1, ""failencore"": 1, ""failmefirst"": 1, ""nosleeptalk"": 1, ""noassist"": 1, ""failcopycat"": 1, ""failmimic"": 1, ""failinstruct"": 1, ""nosketch"": 1}","{""chance"": 30, ""status"": ""par""}",{},{},,False,"[0, 1]","[0, 1]",1,,1
cometpunch,Comet Punch,normal,Physical,18,85,0,normal,"{""contact"": 1, ""protect"": 1, ""mirror"": 1, ""punch"": 1, ""metronome"": 1}",{},{},{},,False,"[0, 1]","[0, 1]","[2, 5]",,1
comeuppance,Comeuppance,dark,Physical,0,100,0,scripted,"{""contact"": 1, ""protect"": 1, ""mirror"": 1, ""failmefirst"": 1}",{},{},{},,False,"[0, 1]","[0, 1]",1,,1
confide,Confide,normal,Status,0,true,0,normal,"{""reflectable"": 1, ""mirror"": 1, ""sound"": 1, ""bypasssub"": 1, ""metronome"": 1}",{},"{""spa"": -1}",{},,False,"[0, 1]","[0, 1]",1,,1
confuseray,Confuse Ray,ghost,Status,0,100,0,normal,"{""protect"": 1, ""reflectable"": 1, ""mirror"": 1, ""metronome"": 1}",{},{},{},confusion,False,"[0, 1]","[0, 1]",1,,1
confusion,Confusion,psychic,Special,50,100,0,normal,"{""protect"": 1, ""mirror"": 1, ""metronome"": 1}","{""chance"": 10, ""volatileStatus"": ""confusion""}",{},{},,False,"[0, 1]","[0, 1]",1,,1
